"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_wfis_itin_stp","wfih_itinerary_id","Itinerary Step","Itinerary ID","int"
"dbo","nwx_wfis_itin_stp","wfis_step_id","Itinerary Step","Step ID","int"
"dbo","nwx_wfis_itin_stp","wfis_description","Itinerary Step","Step Description","varchar"
"dbo","nwx_wfis_itin_stp","wfis_action_bean","Itinerary Step","Action Bean Name","varchar"
"dbo","nwx_wfis_itin_stp","wfis_param_name01","Itinerary Step","Action Parameter Name 1","varchar"
"dbo","nwx_wfis_itin_stp","wfis_param_value01","Itinerary Step","Action Parameter Value 1","varchar"
"dbo","nwx_wfis_itin_stp","wfis_param_name02","Itinerary Step","Action Parameter Name 2","varchar"
"dbo","nwx_wfis_itin_stp","wfis_param_value02","Itinerary Step","Action Parameter Value 2","varchar"
"dbo","nwx_wfis_itin_stp","wfis_param_name03","Itinerary Step","Action Parameter Name 3","varchar"
"dbo","nwx_wfis_itin_stp","wfis_param_value03","Itinerary Step","Action Parameter","varchar"
"dbo","nwx_wfis_itin_stp","wfis_param_name04","Itinerary Step","Action parameter Name 4","varchar"
"dbo","nwx_wfis_itin_stp","wfis_param_value04","Itinerary Step","Action Parameter Value 4","varchar"
"dbo","nwx_wfis_itin_stp","wfis_param_name05","Itinerary Step","Action Parameter Name 5","varchar"
"dbo","nwx_wfis_itin_stp","wfis_param_value05","Itinerary Step","Action Parameter Value 5","varchar"
"dbo","nwx_wfis_itin_stp","wfis_param_name06","Itinerary Step","Action Parameter Name 6","varchar"
"dbo","nwx_wfis_itin_stp","wfis_param_value06","Itinerary Step","Action Parameter Value 6","varchar"
"dbo","nwx_wfis_itin_stp","wfis_param_name07","Itinerary Step","Action Parameter Name 7","varchar"
"dbo","nwx_wfis_itin_stp","wfis_param_value07","Itinerary Step","Action Parameter Value 7","varchar"
"dbo","nwx_wfis_itin_stp","wfis_param_name08","Itinerary Step","Action Parameter Name 8","varchar"
"dbo","nwx_wfis_itin_stp","wfis_param_value08","Itinerary Step","Action Parameter Value 8","varchar"
"dbo","nwx_wfis_itin_stp","wfis_param_name09","Itinerary Step","Action Parameter Name 9","varchar"
"dbo","nwx_wfis_itin_stp","wfis_param_value09","Itinerary Step","Action Parameter Value 9","varchar"
"dbo","nwx_wfis_itin_stp","wfis_param_name10","Itinerary Step","Action Parameter Name 10","varchar"
"dbo","nwx_wfis_itin_stp","wfis_param_value10","Itinerary Step","Action Parameter Value 10","varchar"
"dbo","nwx_wfis_itin_stp","wfis_continue","Itinerary Step","Continue Indicator","smallint"
"dbo","nwx_wfis_itin_stp","wfis_modify_dtm","Itinerary Step","Modification Date","datetime"
"dbo","nwx_wfis_itin_stp","wfis_modify_by","Itinerary Step","Modified By","char"
"dbo","nwx_wfis_itin_stp","wfis_create_dtm","Itinerary Step","Creation Date","datetime"
"dbo","nwx_wfis_itin_stp","wfis_create_by","Itinerary Step","Created By","char"
"dbo","nwx_wfis_itin_stp","wfis_lock_token","Itinerary Step","Lock Token","smallint"
"dbo","nwx_wfis_itin_stp","atxr_source_id","Itinerary Step","Attachment Source Id","datetime"
