"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_wfli_lock_item","wqms_message_id","Locked Item Table","Workflow Message ID","varchar"
"dbo","nwx_wfli_lock_item","wfli_queue_id","Locked Item Table","Queue Contrived Key","int"
"dbo","nwx_wfli_lock_item","wmgt_msg_type","Locked Item Table","Workflow Message Type","int"
"dbo","nwx_wfli_lock_item","wrol_role_id","Locked Item Table","Workflow Role ID","int"
"dbo","nwx_wfli_lock_item","wfdn_trans_id","Locked Item Table","Facets GUID","varchar"
"dbo","nwx_wfli_lock_item","wfih_itinerary_id","Locked Item Table","Itinerary ID","int"
"dbo","nwx_wfli_lock_item","wfis_step_id","Locked Item Table","Itinerary Step ID","int"
"dbo","nwx_wfli_lock_item","wfii_instance_id","Locked Item Table","Itinerary Instance ID","int"
"dbo","nwx_wfli_lock_item","wpzp_app_name","Locked Item Table","Facets Application ID","varchar"
"dbo","nwx_wfli_lock_item","wfrk_key_type","Locked Item Table","Key Type","varchar"
"dbo","nwx_wfli_lock_item","wfrk_key_seq","Locked Item Table","Sequence Number","int"
"dbo","nwx_wfli_lock_item","wfli_action","Locked Item Table","Action","smallint"
"dbo","nwx_wfli_lock_item","wfli_atld_id","Locked Item Table","Document ID","varchar"
"dbo","nwx_wfli_lock_item","wfli_priority","Locked Item Table","Workflow Priority Setting","int"
"dbo","nwx_wfli_lock_item","wrtr_reason_id","Locked Item Table","Workflow Routing Reason ID","int"
"dbo","nwx_wfli_lock_item","wfli_target_dt","Locked Item Table","Target Date","datetime"
"dbo","nwx_wfli_lock_item","wfli_lock_dtm","Locked Item Table","Lock Date","datetime"
"dbo","nwx_wfli_lock_item","wfli_lock_by","Locked Item Table","Locked By","varchar"
"dbo","nwx_wfli_lock_item","wfli_initial_user","Locked Item Table","Initial User ID","varchar"
"dbo","nwx_wfli_lock_item","wfli_status","Locked Item Table","Workflow Status","int"
"dbo","nwx_wfli_lock_item","wfli_route_to_user","Locked Item Table","Workflow Route to User ID","varchar"
"dbo","nwx_wfli_lock_item","wfli_react_time","Locked Item Table","Reactivate Datetime","datetime"
"dbo","nwx_wfli_lock_item","wfli_adj_target_dt","Locked Item Table","Adjusted Target Date","datetime"
"dbo","nwx_wfli_lock_item","wfli_lock_token","Locked Item Table","Lock Token","smallint"
"dbo","nwx_wfli_lock_item","atxr_source_id","Locked Item Table","Attachment Source Id","datetime"
"dbo","nwx_wfli_lock_item","wpzp_prod_id","Locked Item Table","Facets Product ID","varchar"
"dbo","nwx_wfli_lock_item","wfli_received_dt","Locked Item Table","Workflow Received Date","datetime"
