"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_wfms_wkfl_msg","wfms_message_id","Action Note","Message ID","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_rel_queue_id","Action Note","Queue Contrived Key","int"
"dbo","nwx_wfms_wkfl_msg","wfms_rel_msg_type","Action Note","Original Message Type","int"
"dbo","nwx_wfms_wkfl_msg","wfms_rel_msg_id","Action Note","Original Message ID","varchar"
"dbo","nwx_wfms_wkfl_msg","usus_id","Action Note","User Identifier","char"
"dbo","nwx_wfms_wkfl_msg","wfms_param_name01","Action Note","Parameter 1 Column Name","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_name02","Action Note","Parameter 2 Column Name","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_name03","Action Note","Parameter 3 Column Name","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_name04","Action Note","Parameter 4 Column Name","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_name05","Action Note","Parameter 5 Column Name","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_name06","Action Note","Parameter 6 Column Name","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_name07","Action Note","Parameter 7 Column Name","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_name08","Action Note","Parameter 8 Column Name","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_name09","Action Note","Parameter 9 Column Name","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_name10","Action Note","Parameter 10 Column Name","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_value01","Action Note","Parameter 1 Value","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_value02","Action Note","Parameter 2 Value","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_value03","Action Note","Parameter 3 Value","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_value04","Action Note","Parameter 4 Value","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_value05","Action Note","Parameter 5 Value","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_value06","Action Note","Parameter 6 Value","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_value07","Action Note","Parameter 7 Value","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_value08","Action Note","Parameter 8 Value","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_value09","Action Note","Parameter 9 Value","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_value10","Action Note","Parameter 10 Value","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_label01","Action Note","Label 1","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_label02","Action Note","Label 2","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_label03","Action Note","Label 3","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_label04","Action Note","Label 4","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_label05","Action Note","Label 5","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_label06","Action Note","Label 6","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_label07","Action Note","Label 7","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_label08","Action Note","Label 8","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_label09","Action Note","Label 9","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_label10","Action Note","Label 10","varchar"
"dbo","nwx_wfms_wkfl_msg","wfms_param_edit01","Action Note","Parameter 1 Value Editable","int"
"dbo","nwx_wfms_wkfl_msg","wfms_param_edit02","Action Note","Parameter 2 Value Editable","int"
"dbo","nwx_wfms_wkfl_msg","wfms_param_edit03","Action Note","Parameter 3 Value Editable","int"
"dbo","nwx_wfms_wkfl_msg","wfms_param_edit04","Action Note","Parameter 4 Value Editable","int"
"dbo","nwx_wfms_wkfl_msg","wfms_param_edit05","Action Note","Parameter 5 Value Editable","int"
"dbo","nwx_wfms_wkfl_msg","wfms_param_edit06","Action Note","Parameter 6 Value Editable","int"
"dbo","nwx_wfms_wkfl_msg","wfms_param_edit07","Action Note","Parameter 7 Value Editable","int"
"dbo","nwx_wfms_wkfl_msg","wfms_param_edit08","Action Note","Parameter 8 Value Editable","int"
"dbo","nwx_wfms_wkfl_msg","wfms_param_edit09","Action Note","Parameter 9 Value Editable","int"
"dbo","nwx_wfms_wkfl_msg","wfms_param_edit10","Action Note","Parameter 10 Value Editable","int"
"dbo","nwx_wfms_wkfl_msg","wmgt_msg_type","Action Note","Workflow Message Type","int"
"dbo","nwx_wfms_wkfl_msg","atxr_source_id","Action Note","Attachment Source Id","datetime"
