"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_wmba_mem_alias","meme_ck","Member Alias Table","Member Contrived Key","int"
"dbo","nwx_wmba_mem_alias","wmba_seq_no","Member Alias Table","Sequence Number","int"
"dbo","nwx_wmba_mem_alias","wmba_eff_dt","Member Alias Table","Effective Date","datetime"
"dbo","nwx_wmba_mem_alias","wmba_term_dt","Member Alias Table","Termination Date","datetime"
"dbo","nwx_wmba_mem_alias","wmba_last_name","Member Alias Table","Member Last Name","varchar"
"dbo","nwx_wmba_mem_alias","wmba_first_name","Member Alias Table","Member First Name","varchar"
"dbo","nwx_wmba_mem_alias","wmba_mid_init","Member Alias Table","Member Middle Initial","varchar"
"dbo","nwx_wmba_mem_alias","wmba_title","Member Alias Table","Member Title","varchar"
"dbo","nwx_wmba_mem_alias","wmba_ssn","Member Alias Table","Member Social Security Number","varchar"
"dbo","nwx_wmba_mem_alias","wmba_birth_dt","Member Alias Table","Member Birthdate","datetime"
"dbo","nwx_wmba_mem_alias","wmba_create_by","Member Alias Table","Created By","char"
"dbo","nwx_wmba_mem_alias","wmba_create_dtm","Member Alias Table","Creation Date","datetime"
"dbo","nwx_wmba_mem_alias","wmba_modify_by","Member Alias Table","Modified By","char"
"dbo","nwx_wmba_mem_alias","wmba_modify_dtm","Member Alias Table","Modification Date","datetime"
"dbo","nwx_wmba_mem_alias","wmba_lock_token","Member Alias Table","Lock Token","smallint"
"dbo","nwx_wmba_mem_alias","atxr_source_id","Member Alias Table","Attachment Source Id","datetime"
