"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_wqms_queue_msg","wqdf_queue_id","Message Table","Queue Contrived Key","int"
"dbo","nwx_wqms_queue_msg","wqms_message_id","Message Table","Workflow Message ID","varchar"
"dbo","nwx_wqms_queue_msg","wmgt_msg_type","Message Table","Workflow Message Type","int"
"dbo","nwx_wqms_queue_msg","wrol_role_id","Message Table","Workflow Role ID","int"
"dbo","nwx_wqms_queue_msg","wfih_itinerary_id","Message Table","Itinerary ID","int"
"dbo","nwx_wqms_queue_msg","wfis_step_id","Message Table","Itinerary Step ID","int"
"dbo","nwx_wqms_queue_msg","wfii_instance_id","Message Table","Itinerary Instance ID","int"
"dbo","nwx_wqms_queue_msg","wpzp_app_name","Message Table","Facets Application","varchar"
"dbo","nwx_wqms_queue_msg","wfrk_key_type","Message Table","Key Type","varchar"
"dbo","nwx_wqms_queue_msg","wfrk_key_seq","Message Table","Sequence Number","int"
"dbo","nwx_wqms_queue_msg","wqms_action","Message Table","Action","smallint"
"dbo","nwx_wqms_queue_msg","wqms_atld_id","Message Table","Document ID","varchar"
"dbo","nwx_wqms_queue_msg","wqms_priority","Message Table","Priority","int"
"dbo","nwx_wqms_queue_msg","wrtr_reason_id","Message Table","Routing Reason Contrived Key","int"
"dbo","nwx_wqms_queue_msg","wqms_target_dt","Message Table","Target Date","datetime"
"dbo","nwx_wqms_queue_msg","wqms_initial_user","Message Table","Initial Routing User ID","varchar"
"dbo","nwx_wqms_queue_msg","wqms_status","Message Table","Status","int"
"dbo","nwx_wqms_queue_msg","wqms_route_to_user","Message Table","Route to User ID","char"
"dbo","nwx_wqms_queue_msg","wqms_reactivat_dtm","Message Table","Reactivation Datetime","datetime"
"dbo","nwx_wqms_queue_msg","wfdn_trans_id","Message Table","Facets GUID","varchar"
"dbo","nwx_wqms_queue_msg","wqms_adj_target_dt","Message Table","Adusted Target Date","datetime"
"dbo","nwx_wqms_queue_msg","wqms_received_dt","Message Table","Received Date","datetime"
"dbo","nwx_wqms_queue_msg","wqms_lock_token","Message Table","Lock Token","smallint"
"dbo","nwx_wqms_queue_msg","atxr_source_id","Message Table","Attachment Source Id","datetime"
"dbo","nwx_wqms_queue_msg","wpzp_prod_id","Message Table","Facets Product","varchar"
