"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_wqro_queue_rol","wqdf_queue_id","Queue Roles","Queue Contrived Key","int"
"dbo","nwx_wqro_queue_rol","wqro_seq_no","Queue Roles","Sequence Number","int"
"dbo","nwx_wqro_queue_rol","wrol_role_id","Queue Roles","Workflow Role ID","int"
"dbo","nwx_wqro_queue_rol","wqro_create_by","Queue Roles","Created By","char"
"dbo","nwx_wqro_queue_rol","wqro_create_dtm","Queue Roles","Creation Date","datetime"
"dbo","nwx_wqro_queue_rol","wqro_modify_by","Queue Roles","Modified By","char"
"dbo","nwx_wqro_queue_rol","wqro_modify_dtm","Queue Roles","Modification Date","datetime"
"dbo","nwx_wqro_queue_rol","wqro_lock_token","Queue Roles","Lock Token","smallint"
"dbo","nwx_wqro_queue_rol","atxr_source_id","Queue Roles","Attachment Source Id","datetime"
"dbo","nwx_wqro_queue_rol","wqro_default_ind","Queue Roles","Default Indicator","int"
