"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_wqru_queue_rul","wqfd_queue_id","Queue Rules Table","Queue Contrived Key","int"
"dbo","nwx_wqru_queue_rul","wqru_queue_rule_id","Queue Rules Table","Queue Rule Number","int"
"dbo","nwx_wqru_queue_rul","wqru_queue_rule_sq","Queue Rules Table","Queue Sequence Number","int"
"dbo","nwx_wqru_queue_rul","wmgt_mesg_type","Queue Rules Table","Message Type","int"
"dbo","nwx_wqru_queue_rul","wqru_rule_type","Queue Rules Table","Rule Type","int"
"dbo","nwx_wqru_queue_rul","wqru_description","Queue Rules Table","Description","varchar"
"dbo","nwx_wqru_queue_rul","wqru_eff_dt","Queue Rules Table","Effective Date","datetime"
"dbo","nwx_wqru_queue_rul","wqru_term_dt","Queue Rules Table","Termination Date","datetime"
"dbo","nwx_wqru_queue_rul","wqru_status","Queue Rules Table","Status","int"
"dbo","nwx_wqru_queue_rul","wqru_rule_level","Queue Rules Table","Routing Rule Level","int"
"dbo","nwx_wqru_queue_rul","wqru_code_tp_bean","Queue Rules Table","Qualifier Type Bean","varchar"
"dbo","nwx_wqru_queue_rul","wqru_code_tp_low","Queue Rules Table","Qualifier To Value","varchar"
"dbo","nwx_wqru_queue_rul","wqru_code_tp_high","Queue Rules Table","Qualifier From Value","varchar"
"dbo","nwx_wqru_queue_rul","wcgp_code_group_id","Queue Rules Table","Qualifier Group Contrived Key","int"
"dbo","nwx_wqru_queue_rul","wfbn_bean_name","Queue Rules Table","Routing Bean","varchar"
"dbo","nwx_wqru_queue_rul","wqru_param_name01","Queue Rules Table","Calculation input varies by calculation","varchar"
"dbo","nwx_wqru_queue_rul","wqru_param_value01","Queue Rules Table","Calculation Dollar or Percent varies by calculation","varchar"
"dbo","nwx_wqru_queue_rul","wqru_param_name02","Queue Rules Table","Calculation input varies by calculation","varchar"
"dbo","nwx_wqru_queue_rul","wqru_param_value02","Queue Rules Table","Calculation Dollar or Percent varies by calculation","varchar"
"dbo","nwx_wqru_queue_rul","wqru_param_name03","Queue Rules Table","Calculation input varies by calculation","varchar"
"dbo","nwx_wqru_queue_rul","wqru_param_value03","Queue Rules Table","Calculation Dollar or Percent varies by calculation","varchar"
"dbo","nwx_wqru_queue_rul","wqru_param_name04","Queue Rules Table","Calculation input varies by calculation","varchar"
"dbo","nwx_wqru_queue_rul","wqru_param_value04","Queue Rules Table","Calculation Dollar or Percent varies by calculation","varchar"
"dbo","nwx_wqru_queue_rul","wqru_param_name05","Queue Rules Table","Calculation input varies by calculation","varchar"
"dbo","nwx_wqru_queue_rul","wqru_param_value05","Queue Rules Table","Calculation Dollar or Percent varies by calculation","varchar"
"dbo","nwx_wqru_queue_rul","wqru_param_name06","Queue Rules Table","Calculation input varies by calculation","varchar"
"dbo","nwx_wqru_queue_rul","wqru_param_value06","Queue Rules Table","Calculation Dollar or Percent varies by calculation","varchar"
"dbo","nwx_wqru_queue_rul","wqru_param_name07","Queue Rules Table","Calculation input varies by calculation","varchar"
"dbo","nwx_wqru_queue_rul","wqru_param_value07","Queue Rules Table","Calculation Dollar or Percent varies by calculation","varchar"
"dbo","nwx_wqru_queue_rul","wqru_param_name08","Queue Rules Table","Calculation input varies by calculation","varchar"
"dbo","nwx_wqru_queue_rul","wqru_param_value08","Queue Rules Table","Calculation Dollar or Percent varies by calculation","varchar"
"dbo","nwx_wqru_queue_rul","wqru_param_name09","Queue Rules Table","Calculation input varies by calculation","varchar"
"dbo","nwx_wqru_queue_rul","wqru_param_value09","Queue Rules Table","Calculation Dollar or Percent varies by calculation","varchar"
"dbo","nwx_wqru_queue_rul","wqru_param_name10","Queue Rules Table","Calculation input varies by calculation","varchar"
"dbo","nwx_wqru_queue_rul","wqru_param_value10","Queue Rules Table","Calculation Dollar or Percent varies by calculation","varchar"
"dbo","nwx_wqru_queue_rul","wqru_create_by","Queue Rules Table","Created By","char"
"dbo","nwx_wqru_queue_rul","wqru_create_dtm","Queue Rules Table","Creation Date","datetime"
"dbo","nwx_wqru_queue_rul","wqru_modify_by","Queue Rules Table","Modified By","char"
"dbo","nwx_wqru_queue_rul","wqru_modify_dtm","Queue Rules Table","Modification Date","datetime"
"dbo","nwx_wqru_queue_rul","wqru_lock_token","Queue Rules Table","Lock Token","smallint"
"dbo","nwx_wqru_queue_rul","atxr_source_id","Queue Rules Table","Attachment Source Id","datetime"
"dbo","nwx_wqru_queue_rul","wqru_operand_type","Queue Rules Table","Operand Type","int"
