"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_wqur_user_role","usus_id","Queue User Table","User Identifier","char"
"dbo","nwx_wqur_user_role","wqur_seq_no","Queue User Table","Sequence Number","int"
"dbo","nwx_wqur_user_role","wqdf_queue_id","Queue User Table","Queue Contrived Key","int"
"dbo","nwx_wqur_user_role","wrol_role_id","Queue User Table","Workflow Role ID","int"
"dbo","nwx_wqur_user_role","wqur_active_ind","Queue User Table","Active Indicator","int"
"dbo","nwx_wqur_user_role","wqur_eff_dt","Queue User Table","Effective Dates","datetime"
"dbo","nwx_wqur_user_role","wqur_term_dt","Queue User Table","Effective Date","datetime"
"dbo","nwx_wqur_user_role","wqur_capacity_upd","Queue User Table","Date Capacity Last Updated","datetime"
"dbo","nwx_wqur_user_role","wqur_capacity_cnt","Queue User Table","Capacity Inputted","int"
"dbo","nwx_wqur_user_role","wqur_create_by","Queue User Table","Created By","char"
"dbo","nwx_wqur_user_role","wqur_create_dtm","Queue User Table","Creation Date","datetime"
"dbo","nwx_wqur_user_role","wqur_modify_by","Queue User Table","Modified By","char"
"dbo","nwx_wqur_user_role","wqur_modify_dtm","Queue User Table","Modification Date","datetime"
"dbo","nwx_wqur_user_role","wqur_lock_token","Queue User Table","Lock Token","smallint"
"dbo","nwx_wqur_user_role","atrx_source_id","Queue User Table","Attachment Source ID","datetime"
