"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_wrlq_role_qual","wrol_role_id","Role Qualifier Table","Workflow Role ID","int"
"dbo","nwx_wrlq_role_qual","wrlq_seq_no","Role Qualifier Table","Sequence Number","int"
"dbo","nwx_wrlq_role_qual","wrlq_code_tp_bean","Role Qualifier Table","Qualifier Type Bean","varchar"
"dbo","nwx_wrlq_role_qual","wrlq_code_tp_low","Role Qualifier Table","Qualifier Type Through","varchar"
"dbo","nwx_wrlq_role_qual","wrlq_code_tp_high","Role Qualifier Table","Qualifier Type From","varchar"
"dbo","nwx_wrlq_role_qual","wcgp_code_group_id","Role Qualifier Table","Qualifier Group Contrived Key","int"
"dbo","nwx_wrlq_role_qual","wrlq_eff_dt","Role Qualifier Table","Effective Date","datetime"
"dbo","nwx_wrlq_role_qual","wrlq_term_dt","Role Qualifier Table","Termination Date","datetime"
"dbo","nwx_wrlq_role_qual","wrlq_create_by","Role Qualifier Table","Created By","char"
"dbo","nwx_wrlq_role_qual","wrlq_create_dtm","Role Qualifier Table","Creation Date","datetime"
"dbo","nwx_wrlq_role_qual","wrlq_modify_by","Role Qualifier Table","Modified By","char"
"dbo","nwx_wrlq_role_qual","wrlq_modify_dtm","Role Qualifier Table","Modification Date","datetime"
"dbo","nwx_wrlq_role_qual","wrlq_lock_token","Role Qualifier Table","Lock Token","smallint"
"dbo","nwx_wrlq_role_qual","atxr_source_id","Role Qualifier Table","Attachment Source Id","datetime"
"dbo","nwx_wrlq_role_qual","wrlq_low_display","Role Qualifier Table","Qualifier Low Value Description","varchar"
"dbo","nwx_wrlq_role_qual","wrlq_high_display","Role Qualifier Table","Qualifier High Value Description","varchar"
"dbo","nwx_wrlq_role_qual","wrlq_operand_type","Role Qualifier Table","Operand Type","int"
