"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_wrol_roles","wrol_role_id","Roles Table","Workflow Role ID","int"
"dbo","nwx_wrol_roles","wrol_role_desc","Roles Table","Role Description","varchar"
"dbo","nwx_wrol_roles","wmgt_mesg_type","Roles Table","Message Type","int"
"dbo","nwx_wrol_roles","wrol_active_ind","Roles Table","Active Indicator","int"
"dbo","nwx_wrol_roles","wrol_create_by","Roles Table","Create By","char"
"dbo","nwx_wrol_roles","wrol_create_dtm","Roles Table","Creation Date","datetime"
"dbo","nwx_wrol_roles","wrol_modify_by","Roles Table","Modified By","char"
"dbo","nwx_wrol_roles","wrol_modify_dtm","Roles Table","Modification Date","datetime"
"dbo","nwx_wrol_roles","wrol_lock_token","Roles Table","Lock Token","smallint"
"dbo","nwx_wrol_roles","atxr_source_id","Roles Table","Attachment Source Id","datetime"
"dbo","nwx_wrol_roles","wrol_capacity_upd","Roles Table","Calculated Capacity Count","datetime"
"dbo","nwx_wrol_roles","wrol_capacity_cnt","Roles Table","Input Capacity Count","int"
