"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","nwx_wrrl_rtg_rules","wrrl_rtg_rule_id","Routing Rules Table","Routing Rule Contrived Key","int"
"dbo","nwx_wrrl_rtg_rules","wrrl_routing_sect","Routing Rules Table","Routing Rules Section Number","int"
"dbo","nwx_wrrl_rtg_rules","wrrl_rtg_seq_no","Routing Rules Table","Routing Rule Sequence Number","int"
"dbo","nwx_wrrl_rtg_rules","wrrl_description","Routing Rules Table","Routing Rule Description","varchar"
"dbo","nwx_wrrl_rtg_rules","wrrl_eff_dt","Routing Rules Table","Effective Date","datetime"
"dbo","nwx_wrrl_rtg_rules","wrrl_term_dt","Routing Rules Table","Termination Date","datetime"
"dbo","nwx_wrrl_rtg_rules","wrrl_status","Routing Rules Table","Not currently implemented.","int"
"dbo","nwx_wrrl_rtg_rules","wrrl_rule_level","Routing Rules Table","Rule Level","int"
"dbo","nwx_wrrl_rtg_rules","wrrl_code_tp_bean","Routing Rules Table","Qualifier Type Bean","varchar"
"dbo","nwx_wrrl_rtg_rules","wrrl_code_tp_low","Routing Rules Table","Qualifier Type Through Value","varchar"
"dbo","nwx_wrrl_rtg_rules","wrrl_code_tp_high","Routing Rules Table","Qualifier Type From Value","varchar"
"dbo","nwx_wrrl_rtg_rules","wcgp_code_group_id","Routing Rules Table","Qualifier Group Contrived Key","int"
"dbo","nwx_wrrl_rtg_rules","wfbn_bean_name","Routing Rules Table","Routing Bean Name","varchar"
"dbo","nwx_wrrl_rtg_rules","wmgt_mesg_type","Routing Rules Table","Message Type","int"
"dbo","nwx_wrrl_rtg_rules","wrrl_mesg_sub_type","Routing Rules Table","Message Sub-type","int"
"dbo","nwx_wrrl_rtg_rules","wrrl_param_name01","Routing Rules Table","Parameter 1","varchar"
"dbo","nwx_wrrl_rtg_rules","wrrl_param_value01","Routing Rules Table","Value 1","varchar"
"dbo","nwx_wrrl_rtg_rules","wrrl_param_name02","Routing Rules Table","Parameter 2","varchar"
"dbo","nwx_wrrl_rtg_rules","wrrl_param_value02","Routing Rules Table","Value 2","varchar"
"dbo","nwx_wrrl_rtg_rules","wrrl_param_name03","Routing Rules Table","Parameter 3","varchar"
"dbo","nwx_wrrl_rtg_rules","wrrl_param_value03","Routing Rules Table","Value 3","varchar"
"dbo","nwx_wrrl_rtg_rules","wrrl_param_name04","Routing Rules Table","Parameter 4","varchar"
"dbo","nwx_wrrl_rtg_rules","wrrl_param_value04","Routing Rules Table","Value 4","varchar"
"dbo","nwx_wrrl_rtg_rules","wrrl_param_name05","Routing Rules Table","Parameter 5","varchar"
"dbo","nwx_wrrl_rtg_rules","wrrl_param_value05","Routing Rules Table","Value 5","varchar"
"dbo","nwx_wrrl_rtg_rules","wrrl_param_name06","Routing Rules Table","Parameter 6","varchar"
"dbo","nwx_wrrl_rtg_rules","wrrl_param_value06","Routing Rules Table","Value 6","varchar"
"dbo","nwx_wrrl_rtg_rules","wrrl_param_name07","Routing Rules Table","Parameter 7","varchar"
"dbo","nwx_wrrl_rtg_rules","wrrl_param_value07","Routing Rules Table","Value 7","varchar"
"dbo","nwx_wrrl_rtg_rules","wrrl_param_name08","Routing Rules Table","Parameter 8","varchar"
"dbo","nwx_wrrl_rtg_rules","wrrl_param_value08","Routing Rules Table","Value 8","varchar"
"dbo","nwx_wrrl_rtg_rules","wrrl_param_name09","Routing Rules Table","Parameter 9","varchar"
"dbo","nwx_wrrl_rtg_rules","wrrl_param_value09","Routing Rules Table","Value 9","varchar"
"dbo","nwx_wrrl_rtg_rules","wrrl_param_name10","Routing Rules Table","Parameter 10","varchar"
"dbo","nwx_wrrl_rtg_rules","wrrl_param_value10","Routing Rules Table","Value 10","varchar"
"dbo","nwx_wrrl_rtg_rules","wrrl_create_by","Routing Rules Table","Created By","char"
"dbo","nwx_wrrl_rtg_rules","wrrl_create_dtm","Routing Rules Table","Creation Date","datetime"
"dbo","nwx_wrrl_rtg_rules","wrrl_modify_by","Routing Rules Table","Modified By","char"
"dbo","nwx_wrrl_rtg_rules","wrrl_modify_dtm","Routing Rules Table","Modification Date","datetime"
"dbo","nwx_wrrl_rtg_rules","wrrl_lock_token","Routing Rules Table","Lock Token","smallint"
"dbo","nwx_wrrl_rtg_rules","atxr_source_id","Routing Rules Table","Attachment Source Id","datetime"
"dbo","nwx_wrrl_rtg_rules","wrrl_continue","Routing Rules Table","Continue Indicator","int"
"dbo","nwx_wrrl_rtg_rules","wrrl_operand_type","Routing Rules Table","Operand Type","int"
