"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","wixset","record_no","","Profile Identifier","smallint"
"dbo","wixset","gsid","","Company Group ID","varchar"
"dbo","wixset","name","","Company Name","varchar"
"dbo","wixset","idqual","","Company ID Qualifier","varchar"
"dbo","wixset","idcode","","Company ID Code","varchar"
"dbo","wixset","auth_qual","","Authentication Qualifier","varchar"
"dbo","wixset","auth_code","","Authentication Code","varchar"
"dbo","wixset","secu_qual","","Security Qualifier","varchar"
"dbo","wixset","secu_code","","Security Code","varchar"
"dbo","wixset","sndr_route","","Interchange Sender Internal ID","varchar"
"dbo","wixset","sndr_subid","","Interchange Sender Internal Sub_ID","varchar"
"dbo","wixset","app_snd_ql","","Application Sender ID/ID Code Qualifier","varchar"
"dbo","wixset","b_send_id","","Batch Sender ID","varchar"
"dbo","wixset","bin_numb","","Bin Number","int"
"dbo","wixset","proc_numb","","Processing Control Number","varchar"
"dbo","wixset","serv_qual","","Service Provider ID Qualifier","varchar"
"dbo","wixset","serv_id","","Service Provider ID","varchar"
"dbo","wixset","soft_id","","Software/vendor ID","varchar"
